,id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn
0,106473,15639576,Sarratt,652.0,France,Female,65.0,3,0.0,2,1,1,136592.24,0
1,62345,15769582,Hanson,464.0,France,Male,35.0,4,0.0,1,0,0,99505.75,1
2,126615,15675888,Austin,620.0,Germany,Female,39.0,6,129401.87,2,1,1,102681.32,1
3,35909,15786617,Tuan,598.0,France,Female,30.0,7,0.0,2,1,0,141210.18,0
4,45175,15757310,Li Fonti,682.0,Germany,Female,46.0,4,107720.57,1,0,0,93832.33,1
5,164567,15585388,Trevisan,746.0,France,Female,24.0,1,0.0,2,0,0,130142.42,0
6,131432,15802568,Stevenson,636.0,France,Female,45.0,6,0.0,1,1,0,51695.41,1
7,28912,15621075,Ogbonnaya,685.0,France,Female,54.0,6,0.0,2,0,1,167023.95,0
8,115072,15581332,Onyemauchechukwu,809.0,Germany,Male,39.0,9,93360.74,2,1,0,183816.31,0
9,130441,15722758,Tuan,439.0,France,Female,54.0,1,164902.65,1,0,0,137946.02,1
10,73944,15632575,Ozerova,656.0,France,Male,38.0,7,0.0,2,0,1,152979.14,0
11,67354,15796787,Hsiung,741.0,Spain,Male,38.0,4,0.0,1,1,0,151315.17,1
12,90794,15706185,T'ao,675.0,France,Female,25.0,1,0.0,2,0,1,121061.89,0
13,61081,15683363,Goddard,532.0,Spain,Female,49.0,3,0.0,1,1,0,142680.64,0
14,67433,15627203,Hsu,616.0,Germany,Female,56.0,2,110827.49,2,1,0,160526.36,1
15,119972,15697441,Scott,656.0,Germany,Male,45.0,7,140894.04,1,1,0,179866.01,1
16,88665,15645024,Olisaemeka,669.0,Germany,Male,31.0,5,124593.28,2,1,0,178049.4,0
17,68273,15762762,Nnanna,756.0,France,Female,31.0,2,0.0,2,1,0,146652.11,0
18,4810,15598883,Y?an,705.0,France,Male,38.0,8,122570.69,2,1,0,167934.31,0
19,111742,15602845,Ts'ao,662.0,France,Male,37.0,3,0.0,2,1,0,177747.06,0
20,142954,15716164,Ch'ien,635.0,France,Female,33.0,6,148666.99,2,0,1,53511.74,1
21,2340,15751710,Chimaijem,753.0,Germany,Male,33.0,4,119688.81,2,1,0,127875.1,0
22,94982,15578788,Ts'ui,576.0,France,Male,42.0,4,0.0,1,1,0,163584.18,0
23,108432,15806918,Y?an,487.0,France,Male,33.0,3,154953.94,1,1,0,125435.48,1
